year	country	gdp	pop	lifeExp
1865	civ	1054	1477287	31.16
1870	civ	1075	1528273	31.16
1875	civ	1097	1581018	31.16
1880	civ	1119	1635584	31.16
1885	civ	1141	1692034	31.16
1890	civ	1164	1750431	31.16
1895	civ	1188	1810844	31.16
1900	civ	1212	1873342	31.16
1905	civ	1236	1937997	31.16
1910	civ	1261	2004884	31.16
1915	civ	1309	2074079	31.16
1920	civ	1394	2145662	31.16
1925	civ	1489	2219716	31.16
1930	civ	1591	2296325	31.16
1935	civ	1699	2375579	31.16
1940	civ	1814	2457567.9	31.16
1945	civ	1936	2542385.4	31.44
1950	civ	2067	2630131	31.72
1955	civ	2245	2979491	34.36
1960	civ	2510	3474724	38
1965	civ	3091	4219739	41.51
1970	civ	3798	5241914	45.38
1975	civ	4159	6606395	49.63
1980	civ	4068	8265549	52.87
1985	civ	3347	10158033	55.02
1990	civ	3234	12165909	55.3
1995	civ	2964	14404340	52.5
2000	civ	3049	16517948	52
2005	civ	2828	18132702	53.4
2010	civ	2892	20131707	56.6
2015	civ	3491	22701556	59.1
1820	hrv	1350	1227886	36.1
1825	hrv	1407	1283063	36.1
1830	hrv	1465	1340719	36.1
1835	hrv	1526	1400966	36.1
1840	hrv	1590	1463920	36.1
1845	hrv	1656	1529704	36.1
1850	hrv	1725	1598443	36.1
1855	hrv	1759	1670271	36.1
1860	hrv	1794	1745327	36.1
1865	hrv	1829	1823756	36.1
1870	hrv	1865	1905709	36.1
1875	hrv	2033	1991344	36.1
1880	hrv	2216	2080828	36.1
1885	hrv	2415	2174333	36.1
1890	hrv	2633	2272039	36.1
1895	hrv	2725	2374137	36.1
1900	hrv	2821	2480822	36.1
1905	hrv	3056	2592301	36.1
1910	hrv	3310	2708789	36.1
1915	hrv	3290	2830513	36.1
1920	hrv	3235	2957706	36.1
1925	hrv	3759	3090614	40.13
1930	hrv	4139	3229495	44.15
1935	hrv	3579	3374617	48.18
1940	hrv	4395	3526260	52.2
1945	hrv	4205	3684717	36.82
1950	hrv	4871	3850295	60.3
1955	hrv	5644	4030418	62.58
1960	hrv	7651	4192634	64.85
1965	hrv	9636	4328920	66.8
1970	hrv	11777	4423073	68.54
1975	hrv	15162	4500868	69.83
1980	hrv	18996	4598126	70.56
1985	hrv	19711	4716117	71.54
1990	hrv	17890	4776374	72.6
1995	hrv	12543	4616762	73
2000	hrv	15644	4428069	74.2
2005	hrv	19420	4378056	75.7
2010	hrv	19989	4316425	76.7
2015	hrv	20260	4240317	77.8
1800	cub	864	345043	32.2
1805	cub	916	400349	32.86
1810	cub	970	464520	33.64
1815	cub	1028	538977	34.3
1820	cub	1090	605000	35.04
1825	cub	1155	674167	36.24
1830	cub	1224	760286	35.74
1835	cub	1297	864274	36.36
1840	cub	1374	982484	36.48
1845	cub	1456	1083550	36.04
1850	cub	1543	1186000	36.26
1855	cub	1635	1277639	36.52
1860	cub	1733	1376359	36.24
1865	cub	1836	1367272	33.76
1870	cub	1946	1331000	29.66
1875	cub	2062	1464791	31.08
1880	cub	2185	1554198	36.84
1885	cub	2316	1609382	41.54
1890	cub	2454	1637964	39.54
1895	cub	2601	1647951	22.1
1900	cub	2756	1658000	33.11
1905	cub	2920	1927000	34.16
1910	cub	3095	2219000	35.22
1915	cub	3547	2585000	36.29
1920	cub	4042	2997000	37.38
1925	cub	4775	3432000	38.76
1930	cub	5027	3837000	41.5
1935	cub	4937	4221000	44.57
1940	cub	4631	4566000	47.47
1945	cub	7174	4932000	50.94
1950	cub	8630	5919997	58.24
1955	cub	8757	6539470	60.89
1960	cub	9213	7141129	63.85
1965	cub	9116	7951928	66.99
1970	cub	8918	8715123	69.84
1975	cub	11176	9438445	72.18
1980	cub	12284	9835177	73.84
1985	cub	14135	10082990	74.57
1990	cub	13670	10582082	74.7
1995	cub	9195	10906048	75
2000	cub	11268	11116787	76.2
2005	cub	14200	11261052	77.1
2010	cub	18477	11308133	77.8
2015	cub	20122	11389562	78.2
1800	cyp	853	184392	38.5
1805	cyp	854	184491	38.5
1810	cyp	855	184590	38.5
1815	cyp	855	184689	38.5
1820	cyp	856	184788	38.5
1825	cyp	908	184887	38.5
1830	cyp	963	184986	38.5
1835	cyp	1022	185085	38.5
1840	cyp	1084	185184	38.51
1845	cyp	1150	185284	38.51
1850	cyp	1220	185383	38.51
1855	cyp	1295	185482	38.51
1860	cyp	1373	185582	38.51
1865	cyp	1457	185681	38.51
1870	cyp	1546	185781	38.51
1875	cyp	1640	185880	38.51
1880	cyp	1740	185980	38.51
1885	cyp	1845	194880	38.51
1890	cyp	1958	206577	38.51
1895	cyp	2077	219779	38.51
1900	cyp	2203	234039	41.76
1905	cyp	2337	251159	45
1910	cyp	2480	270054	46.23
1915	cyp	2616	288240	47.46
1920	cyp	2737	307086	47.96
1925	cyp	2885	325303	48.46
1930	cyp	3040	344110	48.46
1935	cyp	3204	372690	48.46
1940	cyp	3376	406031	50.96
1945	cyp	3556	442354	57.03
1950	cyp	3745	494014	65.89
1955	cyp	4577	529971	67.87
1960	cyp	5592	572929	69.72
1965	cyp	6831	580971	71.33
1970	cyp	8344	613619	72.73
1975	cyp	8574	649755	73.93
1980	cyp	14582	685406	74.99
1985	cyp	18130	703693	75.95
1990	cyp	23802	766611	76.8
1995	cyp	26445	855389	76.7
2000	cyp	30005	943287	77.7
2005	cyp	33592	1032586	79
2010	cyp	33747	1103685	80.6
2015	cyp	29797	1165300	81.8
1800	cze	1915	5516349	34.95
1805	cze	1917	5516349	34.95
1810	cze	1918	5516349	34.95
1815	cze	1920	5516349	34.95
1820	cze	1921	5516349	34.95
1825	cze	2001	5618198	34.95
1830	cze	2084	5721928	34.95
1835	cze	2171	5827573	34.95
1840	cze	2261	5935168	34.95
1845	cze	2355	6044750	34.95
1850	cze	2452	6156355	34.95
1855	cze	2501	6270021	34.95
1860	cze	2551	6385785	34.95
1865	cze	2602	6503687	34.95
1870	cze	2653	6623765	34.95
1875	cze	2831	6746061	34.95
1880	cze	3022	6870614	34.97
1885	cze	3224	6997467	34.98
1890	cze	3441	7126662	34.99
1895	cze	3691	7258243	35.88
1900	cze	3959	7392253	40.27
1905	cze	4251	7528737	42.29
1910	cze	4566	7667742	44.31
1915	cze	4699	7809312	47.12
1920	cze	4440	7953497	49.93
1925	cze	5995	8100343	52.74
1930	cze	6742	8249901	55.55
1935	cze	5561	8402220	57.62
1940	cze	6786	8559987.9	59
1945	cze	7013	8731162.4	44.93
1950	cze	8110	8902619	64.49
1955	cze	9096	9353086	69.06
1960	cze	11860	9578587	70.58
1965	cze	12857	9800931	70.43
1970	cze	15038	9811291	69.72
1975	cze	17220	10058165	70.77
1980	cze	18586	10337827	70.67
1985	cze	19492	10315676	71.48
1990	cze	19839	10323701	71.8
1995	cze	19093	10335556	73.4
2000	cze	21003	10263010	75
2005	cze	25571	10230877	76.2
2010	cze	28111	10506617	77.5
2015	cze	29437	10543186	78.8
1800	dnk	2013	1062514	37.41
1805	dnk	2032	1084917	43.02
1810	dnk	2050	1107792	41.71
1815	dnk	2070	1131150	42.67
1820	dnk	2089	1155000	43.14
1825	dnk	2184	1228000	43.14
1830	dnk	2214	1273000	34.11
1835	dnk	2308	1306000	38.35
1840	dnk	2412	1357000	41.06
1845	dnk	2639	1430000	43.35
1850	dnk	3029	1499000	43.5
1855	dnk	3182	1590000	46.18
1860	dnk	3029	1696000	45.11
1865	dnk	3286	1799000	39.85
1870	dnk	3536	1888000	46.06
1875	dnk	3755	1973000	44.51
1880	dnk	3908	2081000	44.86
1885	dnk	4104	2186000	49.69
1890	dnk	4587	2294000	47.3
1895	dnk	5074	2397000	50.93
1900	dnk	5566	2561000	51.95
1905	dnk	6219	2710000	54.41
1910	dnk	6937	2882000	58.09
1915	dnk	7020	3055000	58.46
1920	dnk	7359	3242000	57.55
1925	dnk	7951	3425000	61.96
1930	dnk	9571	3542000	62.31
1935	dnk	9708	3695000	62.92
1940	dnk	8977	3832000	66.27
1945	dnk	8822	4045000	66.11
1950	dnk	12025	4268270	70.37
1955	dnk	12767	4439594	71.97
1960	dnk	15198	4580708	72.28
1965	dnk	18917	4760262	72.49
1970	dnk	21990	4930118	73.49
1975	dnk	23846	5061289	74.24
1980	dnk	26921	5123435	74.3
1985	dnk	31032	5113408	74.68
1990	dnk	33256	5140332	75.1
1995	dnk	36670	5232582	75.6
2000	dnk	41693	5338283	77.1
2005	dnk	43919	5417692	78.3
2010	dnk	42997	5550959	79.4
2015	dnk	43495	5669081	80.4
1800	dji	752	22848	29.9
1805	dji	764	22848	29.9
1810	dji	776	22848	29.9
1815	dji	789	22848	29.9
1820	dji	801	22848	29.9
1825	dji	814	23742	29.9
1830	dji	827	24672	29.9
1835	dji	840	25637	29.9
1840	dji	853	26641	29.9
1845	dji	867	27684	29.9
1850	dji	881	28767	29.9
1855	dji	895	29893	29.9
1860	dji	909	31063	29.9
1865	dji	924	32279	29.9
1870	dji	938	33543	29.9
1875	dji	953	34856	29.9
1880	dji	969	36220	29.9
1885	dji	984	37638	29.9
1890	dji	1000	39111	29.9
1895	dji	1016	40642	29.9
1900	dji	1032	42233	29.9
1905	dji	1048	43886	29.9
1910	dji	1065	45604	29.9
1915	dji	1139	47389	29.9
1920	dji	1317	49243	29.9
1925	dji	1524	51171	29.9
1930	dji	1762	53174	29.9
1935	dji	2038	55255	29.9
1940	dji	2357	57418	29.9
1945	dji	2726	59666	30.33
1950	dji	3151	62001	41.24
1955	dji	3432	69594	43.23
1960	dji	3727	83636	45.77
1965	dji	3693	114963	48.33
1970	dji	4357	159667	51.75
1975	dji	4350	224182	54.85
1980	dji	3500	358960	57.1
1985	dji	3704	423470	59.38
1990	dji	3050	588356	61
1995	dji	2315	661076	60.4
2000	dji	2079	722562	60
2005	dji	2240	778406	60.7
2010	dji	2665	830802	62.3
2015	dji	3139	887861	63.8
1990	dma	6661	70926	72.8
1995	dma	7148	71364	72.8
2000	dma	8091	69672	73.7
2005	dma	8764	68925	74.2
2010	dma	10375	67757	73.7
2015	dma	10503	67784	73.1
1800	dom	667	89000	29.9
1805	dom	667	89000	29.9
1810	dom	668	89000	29.9
1815	dom	668	89000	29.9
1820	dom	669	89000	29.9
1825	dom	687	96653	29.9
1830	dom	706	104965	29.9
1835	dom	726	113991	29.9
1840	dom	746	123794	29.9
1845	dom	766	134439	29.9
1850	dom	787	146000	29.9
1855	dom	809	165660	29.9
1860	dom	831	187968	29.9
1865	dom	854	213280	29.9
1870	dom	877	242000	29.9
1875	dom	901	274461	29.9
1880	dom	926	311276	29.9
1885	dom	952	353030	29.9
1890	dom	978	400384	29.9
1895	dom	1005	454090	29.9
1900	dom	1032	515000	29.9
1905	dom	1060	595000	29.9
1910	dom	1090	688000	29.9
1915	dom	1142	785000	29.9
1920	dom	1234	879000	29.9
1925	dom	1344	1054000	29.9
1930	dom	1464	1256000	29.9
1935	dom	1595	1484000	29.9
1940	dom	1737	1672453.4	34.7
1945	dom	1891	1879720.4	39.9
1950	dom	2058	2364650	45.1
1955	dom	2390	2780660	49.15
1960	dom	2655	3294039	53.37
1965	dom	2586	3878952	57.28
1970	dom	3234	4503114	60.83
1975	dom	4407	5149934	63.75
1980	dom	4988	5809271	66.12
1985	dom	4857	6488857	68.75
1990	dom	5278	7183646	71.8
1995	dom	6188	7892420	72.6
2000	dom	7955	8562623	73.3
2005	dom	8772	9237565	73.3
2010	dom	11075	9897983	74.4
2015	dom	12837	10528391	75.3
1800	ecu	529	500000	32.9
1805	ecu	530	500000	32.9
1810	ecu	530	500000	32.9
1815	ecu	530	500000	32.9
1820	ecu	531	500000	32.9
1825	ecu	548	542530	32.9
1830	ecu	566	588677	32.9
1835	ecu	584	638749	32.9
1840	ecu	603	693080	32.9
1845	ecu	623	752033	32.9
1850	ecu	643	816000	32.9
1855	ecu	664	861331	32.9
1860	ecu	685	909180	32.9
1865	ecu	708	959687	32.9
1870	ecu	731	1013000	32.9
1875	ecu	754	1069127	32.9
1880	ecu	779	1128363	32.9
1885	ecu	804	1190882	32.9
1890	ecu	830	1256865	32.9
1895	ecu	857	1326503	32.9
1900	ecu	885	1400000	32.9
1905	ecu	914	1505000	32.9
1910	ecu	943	1617000	32.9
1915	ecu	1097	1717000	32.9
1920	ecu	1260	1790000	32.9
1925	ecu	1495	1865000	32.9
1930	ecu	1723	1944000	32.9
1935	ecu	1945	2196000	32.9
1940	ecu	2237	2474280.5	34.21
1945	ecu	2525	2830683	40.98
1950	ecu	3416	3470162	47.75
1955	ecu	3997	3957482	50.54
1960	ecu	4473	4545548	54.09
1965	ecu	5108	5250120	57.02
1970	ecu	5723	6072520	59.21
1975	ecu	6891	6987393	61.73
1980	ecu	8145	7976449	64.82
1985	ecu	7880	9045977	68.18
1990	ecu	7542	10218085	71.2
1995	ecu	7811	11440576	72.3
2000	ecu	7444	12628596	73.2
2005	ecu	8582	13735232	74.1
2010	ecu	9311	14934692	75.1
2015	ecu	10996	16144363	75.9
1800	egy	791	4243515	33
1805	egy	791	4231082	33
1810	egy	792	4218685	33
1815	egy	793	4206324	33
1820	egy	793	4194000	33
1825	egy	812	4417518	33
1830	egy	831	4652948	33
1835	egy	850	4900926	33
1840	egy	870	5162120	33
1845	egy	890	5437233	33
1850	egy	911	5727009	33
1855	egy	932	6032229	33
1860	egy	954	6353714	33
1865	egy	976	6692334	33
1870	egy	999	7049000	33
1875	egy	984	7509251	33
1880	egy	960	7999553	33
1885	egy	1106	8521868	33
1890	egy	1166	9078287	33
1895	egy	1229	9671036	33
1900	egy	1295	10302488	33
1905	egy	1364	10975169	33
1910	egy	1365	11691771	33
1915	egy	1397	12525256	33
1920	egy	1254	13531588	33
1925	egy	1523	14618772	33
1930	egy	1513	15793306	35.4
1935	egy	1674	17062207	33.2
1940	egy	1642	18371377.4	34.4
1945	egy	1645	19543973.4	32.36
1950	egy	1736	20897237	38.59
1955	egy	1741	23656216	44.3
1960	egy	2052	27072397	48.31
1965	egy	2509	30872982	50.88
1970	egy	3055	34808599	52.54
1975	egy	3193	38624410	55.17
1980	egy	4580	43369552	58.85
1985	egy	5539	49373806	62.38
1990	egy	6020	56397273	65.2
1995	egy	6553	62434527	67.4
2000	egy	7807	68334905	69.7
2005	egy	8556	74942115	70.1
2010	egy	10615	82040994	70.1
2015	egy	11031	91508084	71.5
1800	slv	974	248000	28.7
1805	slv	975	248000	28.7
1810	slv	976	248000	28.7
1815	slv	977	248000	28.7
1820	slv	977	248000	28.7
1825	slv	1019	264620	28.7
1830	slv	1063	282355	28.7
1835	slv	1108	301277	28.7
1840	slv	1156	321468	28.7
1845	slv	1205	343012	28.7
1850	slv	1257	366000	28.7
1855	slv	1311	394096	28.7
1860	slv	1367	424349	28.7
1865	slv	1426	456924	28.7
1870	slv	1487	492000	28.7
1875	slv	1551	529674	28.7
1880	slv	1617	570234	28.7
1885	slv	1686	613899	28.7
1890	slv	1758	660908	28.7
1895	slv	1834	711516	28.7
1900	slv	1912	766000	28.7
1905	slv	1994	851000	28.7
1910	slv	2080	946000	28.7
1915	slv	2169	1052000	28.7
1920	slv	2262	1170000	28.7
1925	slv	2225	1299836	28.7
1930	slv	2490	1444080	28.7
1935	slv	2410	1604331	32.34
1940	slv	2598	1782366	35.98
1945	slv	2526	1980157	39.8
1950	slv	3414	2199897	43.62
1955	slv	3688	2429331	47.8
1960	slv	3963	2762897	52.02
1965	slv	4671	3197865	55.4
1970	slv	4810	3668592	57.57
1975	slv	5448	4147525	58.36
1980	slv	5064	4577683	57.96
1985	slv	4478	4920932	61.24
1990	slv	4454	5252082	67.7
1995	slv	5589	5588743	70
2000	slv	6266	5811836	71.9
2005	slv	6907	5947206	73
2010	slv	7237	6038306	74.1
2015	slv	7776	6126583	74.9
1800	gnq	356	80377	29.8
1805	gnq	358	80377	29.8
1810	gnq	360	80377	29.8
1815	gnq	363	80377	29.8
1820	gnq	365	80377	29.8
1825	gnq	368	81721	29.8
1830	gnq	370	83088	29.8
1835	gnq	372	84478	29.8
1840	gnq	375	85891	29.8
1845	gnq	377	87328	29.8
1850	gnq	380	88789	29.8
1855	gnq	382	90274	29.8
1860	gnq	385	91784	29.8
1865	gnq	388	93319	29.8
1870	gnq	390	94880	29.8
1875	gnq	393	96467	29.8
1880	gnq	395	98081	29.8
1885	gnq	398	99721	29.8
1890	gnq	401	101389	29.8
1895	gnq	403	103085	29.8
1900	gnq	406	104810	29.8
1905	gnq	413	106563	29.8
1910	gnq	420	108345	29.8
1915	gnq	428	110157	29.8
1920	gnq	435	112000	29.8
1925	gnq	444	132285	29.8
1930	gnq	453	156243	29.8
1935	gnq	461	168190	29.8
1940	gnq	470	170192	29.8
1945	gnq	479	189705	30.04
1950	gnq	488	225536	34.35
1955	gnq	562	237676	35.95
1960	gnq	678	252115	37.69
1965	gnq	1169	269427	39.44
1970	gnq	1193	290905	41.17
1975	gnq	1181	238240	42.91
1980	gnq	1349	220605	44.85
1985	gnq	1240	314407	46.92
1990	gnq	1050	377363	48.9
1995	gnq	1803	448332	48.5
2000	gnq	11768	530896	52.9
2005	gnq	36200	625866	56
2010	gnq	34431	728710	58.6
2015	gnq	31087	845060	61
1800	eri	532	205010	30.2
1805	eri	532	205010	30.2
1810	eri	533	205010	30.2
1815	eri	533	205010	30.2
1820	eri	534	205010	30.2
1825	eri	540	219004	30.2
1830	eri	547	233954	30.2
1835	eri	554	249924	30.2
1840	eri	561	266985	30.2
1845	eri	569	285210	30.2
1850	eri	576	304679	30.2
1855	eri	583	325477	30.2
1860	eri	591	347695	30.2
1865	eri	598	371429	30.2
1870	eri	606	396784	30.2
1875	eri	614	423869	30.2
1880	eri	622	452803	30.2
1885	eri	630	483713	30.2
1890	eri	638	516732	30.2
1895	eri	646	552005	30.2
1900	eri	654	589686	30.2
1905	eri	663	629940	30.2
1910	eri	671	672941	30.2
1915	eri	683	718877	30.2
1920	eri	699	767949	30.2
1925	eri	713	820371	30.2
1930	eri	728	876372	30.2
1935	eri	743	936195	30.2
1940	eri	758	1000186	30.2
1945	eri	774	1068881	30.62
1950	eri	789	1142150	36.29
1955	eri	851	1258926	37.58
1960	eri	885	1407631	39.03
1965	eri	974	1589187	40.81
1970	eri	1037	1805480	43.02
1975	eri	965	2070145	45.14
1980	eri	942	2383858	46.66
1985	eri	783	2756493	48.77
1990	eri	850	3139083	52.4
1995	eri	1438	3164095	57.8
2000	eri	1446	3535156	37.6
2005	eri	1332	4191273	59.9
2010	eri	1083	4689664	60.1
2015	eri	1129	5227791	60.7
1800	est	938	334136	36.14
1805	est	943	334136	33.93
1810	est	949	334136	34.86
1815	est	954	334136	38.02
1820	est	960	334136	43.39
1825	est	992	349817	35.59
1830	est	1024	366234	35.38
1835	est	1058	383422	38.71
1840	est	1093	401416	36.89
1845	est	1128	420254	35.17
1850	est	1166	439977	34.02
1855	est	1204	460626	39.41
1860	est	1243	482243	39
1865	est	1284	504875	30.96
1870	est	1326	528569	41.25
1875	est	1370	553375	42.35
1880	est	1415	579345	40.09
1885	est	1461	606534	41.29
1890	est	1464	634999	42.27
1895	est	1752	664799	43.03
1900	est	2024	695999	43.15
1905	est	2056	728662	45.09
1910	est	2286	762858	47.04
1915	est	2358	798660	44.5
1920	est	1762	836141	46.36
1925	est	2661	875382	54.92
1930	est	3053	916464	54.81
1935	est	3549	959474	56.27
1940	est	3703	1004502	56.8
1945	est	3375	1051644	46.12
1950	est	4926	1100998	58.67
1955	est	5752	1159238	65.73
1960	est	6861	1216831	69.42
1965	est	8069	1290437	70.81
1970	est	9721	1360236	70.51
1975	est	10829	1422070	70.26
1980	est	11676	1474487	69.75
1985	est	12540	1522477	69.97
1990	est	13260	1565320	70.1
1995	est	10464	1433076	67.7
2000	est	14877	1399145	70.4
2005	est	21651	1355662	72.5
2010	est	21710	1332089	76.4
2015	est	26812	1312558	77.8
1800	eth	523	2948990	29.7
1805	eth	523	2948990	29.7
1810	eth	523	2948990	29.7
1815	eth	524	2948990	29.7
1820	eth	524	2948990	29.7
1825	eth	525	3164364	29.7
1830	eth	526	3395468	26
1835	eth	527	3643451	28
1840	eth	528	3909544	29.7
1845	eth	529	4195071	29.7
1850	eth	530	4501451	29.7
1855	eth	531	4830206	29.7
1860	eth	531	5182972	29.7
1865	eth	532	5561502	25
1870	eth	533	5967676	29.7
1875	eth	534	6403516	29.7
1880	eth	535	6871185	27
1885	eth	536	7373011	29.7
1890	eth	537	7911486	4
1895	eth	538	8489288	29.5
1900	eth	539	9109288	29.7
1905	eth	540	9774570	29.7
1910	eth	541	10488439	29.7
1915	eth	543	11254444	29.7
1920	eth	547	12076393	29.7
1925	eth	552	12958372	29.7
1930	eth	558	13904765	29.7
1935	eth	563	14920275	27.5
1940	eth	569	15979368.8	28
1945	eth	574	16995712.8	29.53
1950	eth	579	18128034	32.95
1955	eth	629	19947265	34.72
1960	eth	657	22151218	37.72
1965	eth	727	25013551	38.13
1970	eth	778	28414999	41.9
1975	eth	729	32568539	38.78
1980	eth	715	35239974	42.8
1985	eth	597	40775997	35.43
1990	eth	653	48057094	45.2
1995	eth	578	57237226	49.2
2000	eth	623	66443603	52.1
2005	eth	738	76608431	56.1
2010	eth	1081	87561814	62.1
2015	eth	1520	99390750	65.2
1800	fji	785	130533	26.1
1805	fji	785	131600	26.1
1810	fji	786	132676	26.1
1815	fji	787	133760	26.1
1820	fji	787	134854	26.1
1825	fji	801	135956	26.1
1830	fji	814	137068	26.1
1835	fji	828	138188	26.1
1840	fji	842	139318	26.1
1845	fji	857	139136	26.1
1850	fji	872	137000	26.1
1855	fji	886	135335	26.1
1860	fji	902	133691	26.1
1865	fji	917	132067	26.1
1870	fji	933	130462	26.1
1875	fji	949	128877	1
1880	fji	965	127311	26.1
1885	fji	981	124565	26.1
1890	fji	998	121587	26.1
1895	fji	1015	120555	26.1
1900	fji	1033	120000	26.1
1905	fji	1050	127632	26.1
1910	fji	1068	137858	26.1
1915	fji	1134	146567	26.1
1920	fji	1284	155211	26.1
1925	fji	1456	167021	26.1
1930	fji	1651	180451	31.1
1935	fji	1873	194961	36.1
1940	fji	2123	220795	41.11
1945	fji	2407	253013	46.07
1950	fji	2729	288993	51.03
1955	fji	3093	334976	53.4
1960	fji	3505	393383	55.7
1965	fji	3471	463884	57.75
1970	fji	4384	520529	59.61
1975	fji	5245	576592	61.21
1980	fji	5843	635256	62.65
1985	fji	5193	711663	63.96
1990	fji	5694	728626	65.1
1995	fji	6073	775498	64.5
2000	fji	6444	811223	64.2
2005	fji	7169	821820	64.8
2010	fji	7098	859952	65.2
2015	fji	7925	892145	65.8
1800	fin	1244	977662	36.57
1805	fin	1255	1022340	39.8
1810	fin	1267	1069059	36.95
1815	fin	1278	1117913	35.72
1820	fin	1290	1169000	37.29
1825	fin	1325	1252000	37.26
1830	fin	1360	1364000	36.3
1835	fin	1397	1391000	37.79
1840	fin	1434	1441000	41.47
1845	fin	1472	1536000	40.86
1850	fin	1512	1628000	37.35
1855	fin	1552	1683000	31.94
1860	fin	1594	1738000	38.15
1865	fin	1582	1833000	35.78
1870	fin	1897	1754000	45.66
1875	fin	2017	1899000	40.65
1880	fin	1925	2047000	39.67
1885	fin	2054	2195000	41.3
1890	fin	2305	2364000	44.61
1895	fin	2493	2483000	47.64
1900	fin	2789	2646000	41.8
1905	fin	2914	2762000	46.04
1910	fin	3192	2929000	48.53
1915	fin	3154	3083000	49.54
1920	fin	3097	3133000	47.55
1925	fin	3914	3304000	53.42
1930	fin	4489	3449000	54.47
1935	fin	5216	3576000	57.36
1940	fin	5439	3697929.6	46.65
1945	fin	5832	3757577.6	57.2
1950	fin	7198	4008299	64.25
1955	fin	8802	4235423	67.39
1960	fin	10560	4430228	69.03
1965	fin	13006	4564690	69.16
1970	fin	16245	4606740	70.4
1975	fin	19409	4711459	71.89
1980	fin	21965	4779454	73.71
1985	fin	24630	4902219	74.49
1990	fin	28599	4986705	75.1
1995	fin	27303	5108176	76.7
2000	fin	34517	5176482	77.8
2005	fin	38700	5246368	79
2010	fin	39425	5367693	80
2015	fin	38923	5503457	80.9
1800	fra	1803	29355111	33.97
1805	fra	1821	29817780	34.88
1810	fra	1839	30287741	37.4
1815	fra	1857	30765108	36.5
1820	fra	1876	31250000	39.21
1825	fra	1798	32350000	38.53
1830	fra	1799	33300000	39.56
1835	fra	1974	34000000	39.48
1840	fra	2184	34900000	40.37
1845	fra	2284	35700000	43.58
1850	fra	2146	36350000	43.28
1855	fra	3114	37000000	37.54
1860	fra	3086	37300000	43.33
1865	fra	3333	38020000	40.16
1870	fra	3297	38440000	36.41
1875	fra	3653	38221000	43.17
1880	fra	3555	39045000	42.73
1885	fra	3438	39733000	43.97
1890	fra	3639	40014000	43.36
1895	fra	3883	40098000	45.2
1900	fra	4314	40598000	45.08
1905	fra	4367	40890000	48.36
1910	fra	4542	41224000	51.37
1915	fra	3968	40481000	35.63
1920	fra	4550	39000000	51.6
1925	fra	6075	40610000	54.39
1930	fra	6835	41610000	56.87
1935	fra	5785	41940000	58.32
1940	fra	4821	41004780.2	49.45
1945	fra	4423	39728681.2	54.98
1950	fra	7914	41879607	66.43
1955	fra	9453	43528065	68.54
1960	fra	11642	45865699	70.49
1965	fra	14514	48952283	71.26
1970	fra	18185	50843830	72.29
1975	fra	20851	53010727	73.13
1980	fra	23962	54053224	74.53
1985	fra	25917	55379923	75.67
1990	fra	29476	56943299	77.2
1995	fra	30823	58224051	78.2
2000	fra	34774	59387183	79.1
2005	fra	36395	61241700	80.4
2010	fra	36745	62961136	81.4
2015	fra	37599	64395345	81.8
1800	gab	390	158227	30.6
1805	gab	391	158227	30.6
1810	gab	391	158227	30.6
1815	gab	391	158227	30.6
1820	gab	391	158227	30.6
1825	gab	392	164980	30.6
1830	gab	392	172020	30.6
1835	gab	392	179362	30.6
1840	gab	393	187016	30.6
1845	gab	393	194998	30.6
1850	gab	393	203319	30.6
1855	gab	393	211996	30.6
1860	gab	394	221044	30.6
1865	gab	394	230477	30.6
1870	gab	394	240313	30.6
1875	gab	395	250569	30.6
1880	gab	395	261262	30.6
1885	gab	395	272412	30.6
1890	gab	396	284038	30.6
1895	gab	396	296160	30.6
1900	gab	396	308799	30.6
1905	gab	404	321978	30.6
1910	gab	413	335718	30.6
1915	gab	421	350046	30.6
1920	gab	430	364985	30.6
1925	gab	465	380561	30.6
1930	gab	501	396802	30.6
1935	gab	538	413736	30.6
1940	gab	577	431823	30.6
1945	gab	617	452384	30.41
1950	gab	658	473300	35.59
1955	gab	971	482558	37.54
1960	gab	1431	499189	38.83
1965	gab	2807	532512	41.42
1970	gab	4656	590119	45.55
1975	gab	18169	649719	49.45
1980	gab	27736	729165	53.42
1985	gab	23142	830091	57.4
1990	gab	19358	952269	59.5
1995	gab	19738	1086449	59.8
2000	gab	17630	1231548	59.3
2005	gab	17069	1377777	60.1
2010	gab	15982	1541936	63
2015	gab	18627	1725292	65.9
1800	gmb	813	103274	28.8
1805	gmb	815	103274	28.8
1810	gmb	818	103274	28.8
1815	gmb	820	103274	28.8
1820	gmb	823	103274	28.8
1825	gmb	825	107184	28.8
1830	gmb	828	111241	28.8
1835	gmb	830	115453	28.8
1840	gmb	833	119823	28.8
1845	gmb	835	124359	28.8
1850	gmb	838	129067	28.8
1855	gmb	841	133953	28.8
1860	gmb	843	139024	28.8
1865	gmb	846	144287	28.8
1870	gmb	848	149750	28.8
1875	gmb	851	155419	28.8
1880	gmb	853	161302	28.8
1885	gmb	856	167409	28.8
1890	gmb	859	173746	28.8
1895	gmb	861	180324	28.8
1900	gmb	864	187150	28.8
1905	gmb	872	194235	28.8
1910	gmb	880	201588	28.8
1915	gmb	888	209220	28.8
1920	gmb	896	217140	28.8
1925	gmb	912	225360	28.8
1930	gmb	927	233892	28.8
1935	gmb	943	242746	28.8
1940	gmb	959	251936	28.8
