DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,,,
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,,,
15K667,SUNSET PARK HIGH SCHOOL,,,
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,,,
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,,,
16K455,BOYS AND GIRLS HIGH SCHOOL,,,
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,,,
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,,
17K467,ERASMUS YABC,,,
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,,,
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,,,
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,,,
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,,,
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,,,
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,,,
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,,,
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,,,
17K625,PAUL ROBESON HIGH SCHOOL,,,
17K751,ACADEMY FOR HEALTH CAREERS,,,
18K566,BROOKLYN GENERATION SCHOOL,,,
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,,,
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,,,
18K578,BROOKLYN BRIDGE ACADEMY,,,
18K589,ARTS & MEDIA PREPARATORY ACADEMY,,,
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,,,
18K635,OLYMPUS ACADEMY,,,
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,,,
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,,,
19K420,FRANKLIN K. LANE HIGH SCHOOL,,,
19K431,THOMAS JEFFERSON YABC,,,
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,,,
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,,,
19K639,BROOKLYN LAB SCHOOL,,,
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,,,
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,
20K658,FRANKLIN DELANO ROOSEVELT YABC,,,
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,,,
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,,,
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,,,
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,,,
21K728,LIBERATION DIPLOMA PLUS,,,
22K555,BROOKLYN COLLEGE ACADEMY,,,
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,,,
23K643,BROOKLYN DEMOCRACY ACADEMY,,,
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,,,
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,,,
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,,,
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,,,
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,,,
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,,,
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,,,
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",,,
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,,,
24Q744,VOYAGES PREPARATORY,,,
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,,,
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,,,
25Q467,FLUSHING YABC,,,
25Q540,QUEENS ACADEMY HIGH SCHOOL,,,
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,,,
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",,,
27Q400,AUGUST MARTIN HIGH SCHOOL,,,
27Q410,BEACH CHANNEL HIGH SCHOOL,,,
28Q284,YORK EARLY COLLEGE ACADEMY,,,
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,,
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,,,
28Q470,JAMAICA HIGH SCHOOL,,,
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,,,
29Q326,CAMBRIA HEIGHTS ACADEMY,,,
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",,,
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",,,
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",,,
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,,,
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,,
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,,,
31R470,CONCORD HIGH SCHOOL,,,
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,,,
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,,,
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,,,
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,,,
75K371,P.S. 371 s LILLIAN L. RASHKIS,,,
75M035,P.S. 035,,,
75Q256,P.S. Q256,,,
75Q811,P.S. Q811,,,
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,,,
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,,,
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,,,
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,,,
79Q950,GED PLUS s CITYWIDE,,,
79X490,PHOENIX ACADEMY,,,
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2516,4427,3333
10X445,BRONX HIGH SCHOOL OF SCIENCE,1598,3480,2986
02M475,STUYVESANT HIGH SCHOOL,1444,2684,2608
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,923,1576,1177
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,722,1294,873
25Q525,TOWNSEND HARRIS HIGH SCHOOL,758,1249,937
28Q440,FOREST HILLS HIGH SCHOOL,882,1235,629
22K405,MIDWOOD HIGH SCHOOL,788,1226,706
26Q430,FRANCIS LEWIS HIGH SCHOOL,819,1191,712
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,595,1098,977
26Q495,BAYSIDE HIGH SCHOOL,734,1056,493
30Q450,LONG ISLAND CITY HIGH SCHOOL,576,1035,228
31R455,TOTTENVILLE HIGH SCHOOL,424,861,335
20K490,FORT HAMILTON HIGH SCHOOL,435,705,414
21K525,EDWARD R. MURROW HIGH SCHOOL,457,690,406
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,386,651,398
31R460,SUSAN E. WAGNER HIGH SCHOOL,373,589,221
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,343,588,156
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",306,587,323
10X440,DEWITT CLINTON HIGH SCHOOL,380,551,314
25Q460,FLUSHING HIGH SCHOOL,370,550,133
25Q425,JOHN BOWNE HIGH SCHOOL,336,548,239
21K540,JOHN DEWEY HIGH SCHOOL,278,511,253
31R450,CURTIS HIGH SCHOOL,426,510,113
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,231,427,345
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,311,423,263
08X405,HERBERT H. LEHMAN HIGH SCHOOL,316,395,209
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,257,386,77
22K425,JAMES MADISON HIGH SCHOOL,263,378,215
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,253,375,320
20K445,NEW UTRECHT HIGH SCHOOL,264,362,155
31R445,PORT RICHMOND HIGH SCHOOL,210,340,86
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,224,334,215
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,231,326,156
28Q505,HILLCREST HIGH SCHOOL,216,317,69
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,234,314,79
31R080,THE MICHAEL J. PETRIDES SCHOOL,174,313,45
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,221,309,114
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,216,308,173
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,159,296,110
27Q480,JOHN ADAMS HIGH SCHOOL,221,287,57
24Q455,NEWTOWN HIGH SCHOOL,213,269,132
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,183,264,223
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",196,245,202
24Q485,GROVER CLEVELAND HIGH SCHOOL,150,223,92
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,135,208,36
30Q555,NEWCOMERS HIGH SCHOOL,163,203,153
13K670,BENJAMIN BANNEKER ACADEMY,146,203,82
05M499,FREDERICK DOUGLASS ACADEMY,167,202,121
02M630,ART AND DESIGN HIGH SCHOOL,166,201,74
12X478,THE CINEMA SCHOOL,85,196,15
17K600,CLARA BARTON HIGH SCHOOL,128,195,56
03M479,BEACON HIGH SCHOOL,151,187,134
31R440,NEW DORP HIGH SCHOOL,143,185,76
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,105,182,141
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",134,180,39
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,135,176,83
02M542,MANHATTAN BRIDGES HIGH SCHOOL,117,174,130
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,113,173,15
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,152,172,115
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,89,168,45
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),123,165,103
27Q475,RICHMOND HILL HIGH SCHOOL,135,164,33
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,108,161,92
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,91,161,73
30Q575,ACADEMY OF AMERICAN STUDIES,104,156,100
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,114,153,56
13K595,BEDFORD ACADEMY HIGH SCHOOL,124,152,26
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,95,151,43
21K410,ABRAHAM LINCOLN HIGH SCHOOL,121,149,79
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,116,148,40
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,115,146,67
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,132,146,63
27Q323,SCHOLARS' ACADEMY,77,138,92
11X455,HARRY S TRUMAN HIGH SCHOOL,97,136,23
02M418,MILLENNIUM HIGH SCHOOL,121,135,103
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",135,135,8
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,113,134,98
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,95,134,35
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,68,134,27
12X271,EAST BRONX ACADEMY FOR THE FUTURE,69,130,
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,104,130,43
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,87,124,54
